Datetime,Ticker,High,Low,Source
2026-06-18 13:30,MSFT,380.52,377.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-18 14:30,MSFT,378.5,377.11,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-18 15:30,MSFT,380.5,377.5,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 9:30,MSFT,381.6,373.53,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 10:30,MSFT,374.45,370.58,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 11:30,MSFT,372.05,367.95,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 12:30,MSFT,369.58,368,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 13:30,MSFT,370.65,368.68,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 14:30,MSFT,370.52,369,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-22 15:30,MSFT,370.44,367.07,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 9:30,MSFT,376.39,370.67,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 10:30,MSFT,377.2,372.77,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 11:30,MSFT,373.64,371.65,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 12:30,MSFT,373.53,372.43,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 13:30,MSFT,374.58,372.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 14:30,MSFT,374.2,372.29,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-23 15:30,MSFT,376.1,373.39,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 9:30,MSFT,378.88,370.98,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 10:30,MSFT,375.59,372.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 11:30,MSFT,375.06,373.06,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 12:30,MSFT,373.44,370.8,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 13:30,MSFT,372.27,370.3,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 14:30,MSFT,371.4,368.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-24 15:30,MSFT,368.69,364.79,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-25 9:30,MSFT,364.23,356.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
